tx,ty,land_frac,elev_min,elev_max,hi,r1000_p90,r1000_max,r2500_p99,r2500_max,r5000_max,w2k_p99,w2k_max,w2k_max_x0,w2k_max_y0,w2k_max_x1,w2k_max_y1,slope_p90,slope_p99,slope_bc,tri_mean,misses
-8,-6,0.256443,0,580.132,0.0991893,261.55,533.915,540.05,575.834,580.132,385.45,533.915,-110790,-81600,-108780,-81600,21.91,41.15,0.773167,7.5836,0
-8,-5,0.66603,0,1022.1,0.191639,277.45,464.318,681.85,755.579,938.147,387.15,547.792,-108030,-63120,-109440,-61710,22.63,37.91,0.625294,11.8622,0
-8,-4,1,28.93,1496.36,0.49374,365.05,775.801,872.35,1130.35,1374.45,534.55,832.278,-115140,-46350,-113130,-46350,23.83,37.49,0.526254,15.9926,0
-8,-3,0.834299,0,1920.38,0.194691,460.45,835.148,1152.85,1258.03,1775,679.75,1004.52,-107790,-37980,-107790,-39990,27.73,43.41,0.57119,16.2999,0
-8,-2,0.103534,0,376.027,0.0135409,4.15,350.11,275.15,373.93,376.027,166.65,354.931,-109800,-30150,-107790,-30150,0.19,22.25,0.870315,0.944251,0
-8,-1,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-122640,-15120,-120630,-15120,0.01,0.01,0,0,0
-8,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-122640,240,-120630,240,0.01,0.01,0,0,0
-7,-16,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-107280,-245520,-105270,-245520,0.01,0.01,0,0,0
-7,-15,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-107280,-230160,-105270,-230160,0.01,0.01,0,0,0
-7,-14,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-107280,-214800,-105270,-214800,0.01,0.01,0,0,0
-7,-13,0.435281,0,274.985,0.148937,63.05,133.5,185.55,208.436,274.985,110.25,152.935,-99060,-187890,-99060,-185880,4.47,11.19,0.586211,2.21504,0
-7,-12,1,71.103,1084.04,0.192835,214.15,663.473,810.25,872.252,987.165,499.35,746.325,-103860,-171060,-105870,-171060,15.91,32.75,0.718307,9.87643,0
-7,-11,0.991033,0,748.557,0.319535,309.65,543.182,646.45,663.617,685.543,413.75,631.725,-103770,-161070,-103770,-163080,28.03,38.49,0.477719,21.4623,0
-7,-10,0.498264,0,329.486,0.0563722,154.35,273.121,275.55,324.562,328.668,182.85,321.409,-92490,-153000,-92490,-150990,11.69,31.35,0.831068,4.54718,0
-7,-9,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-107280,-138000,-105270,-138000,0.01,0.01,0,0,0
-7,-8,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-107280,-122640,-105270,-122640,0.01,0.01,0,0,0
-7,-7,0.43335,0,512.448,0.145035,226.25,386.06,426.55,446.433,512.448,259.25,421.344,-106080,-93990,-104070,-93990,22.63,37.39,0.744341,9.57611,0
-7,-6,0.883394,0,820.497,0.303953,381.05,584.141,693.65,728.448,820.497,525.25,645.155,-99840,-85290,-98430,-86700,31.55,46.23,0.527443,21.3225,0
-7,-5,1,20.85,2204.23,0.103937,416.55,1381.06,1671.25,1933.22,2150.22,956.85,1663.01,-93930,-68280,-92520,-66870,26.15,46.41,0.713499,13.6382,0
-7,-4,1,60.857,1481.07,0.391423,454.15,697.596,974.75,1057.41,1299.56,588.65,847.292,-99030,-47760,-100440,-46350,32.23,44.01,0.467452,24.4438,0
-7,-3,1,136.331,2002.8,0.438213,612.95,956.425,1193.25,1312.22,1812.73,807.95,1139.67,-100830,-42180,-102240,-40770,39.11,53.01,0.389036,36.1681,0
-7,-2,0.984245,0,886.475,0.237095,303.15,509.077,542.25,660.47,779.331,353.65,615.174,-95280,-30480,-97290,-30480,24.63,32.55,0.536775,16.469,0
-7,-1,0.595811,0,729.692,0.0938773,303.15,676.863,729.65,729.692,729.692,494.05,729.692,-97650,-2700,-96240,-4110,20.45,35.47,0.756158,8.49358,0
-7,0,0.0418916,0,364.927,0.0121728,0.05,298.449,251.35,364.927,364.927,154.85,327.699,-96330,300,-94320,300,0.01,17.77,0.834978,0.715881,0
-6,-16,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-91920,-245520,-89910,-245520,0.01,0.01,0,0,0
-6,-15,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-91920,-230160,-89910,-230160,0.01,0.01,0,0,0
-6,-14,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-91920,-214800,-89910,-214800,0.01,0.01,0,0,0
-6,-13,0.0784705,0,74.737,0.0207395,5.95,74.737,55.35,74.737,74.737,33.35,74.737,-77970,-186630,-77970,-184620,0.01,3.75,0.62662,0.266094,0
-6,-12,0.798607,0,622.443,0.187766,160.65,388.895,339.35,442.387,556.69,197.95,395.957,-83910,-171240,-83910,-169230,16.73,37.43,0.680118,9.07144,0
-6,-11,1,33.058,940.316,0.407206,383.35,527.677,608.15,631.391,752.062,445.85,555.933,-81000,-160530,-81000,-162540,29.59,38.87,0.427037,24.8962,0
-6,-10,0.575471,0,384.773,0.0977564,163.95,333.546,378.95,380.813,384.773,228.35,372.936,-89520,-151380,-90930,-149970,15.01,30.93,0.72485,6.60771,0
-6,-9,0.0222668,0,50.78,0.00331116,0.05,50.78,50.75,50.78,50.78,8.35,50.78,-79980,-131070,-77970,-131070,0.01,2.79,0.78165,0.14317,0
-6,-8,0.0500415,0,348.425,0.017913,0.75,348.425,348.45,348.425,348.425,248.25,348.425,-81930,-109950,-79920,-109950,0.01,31.71,0.859591,1.72725,0
-6,-7,0.415302,0,583.798,0.168718,249.85,550.516,568.65,583.798,583.798,418.45,583.798,-89670,-93840,-88260,-92430,15.75,36.55,0.66215,6.98379,0
-6,-6,1,7.131,1089.91,0.273489,209.65,485.16,602.55,670.907,829.917,405.25,638.612,-90510,-85200,-91920,-86610,13.39,31.17,0.654106,8.42174,0
-6,-5,1,155.802,2962.14,0.380392,861.45,1381.29,2118.55,2223.1,2696.27,1326.05,1802.69,-88140,-70860,-88140,-68850,42.01,57.15,0.52765,32.779,0
-6,-4,1,548.186,2775.2,0.448642,681.45,1041.12,1584.75,1711.42,2226.72,977.05,1286.33,-83310,-57180,-84720,-58590,38.49,45.11,0.452283,38.3236,0
-6,-3,1,145.686,2031.36,0.424263,402.55,719.815,869.15,911.219,1025.77,614.95,789.379,-86940,-34050,-84930,-34050,31.65,45.77,0.587153,21.7882,0
-6,-2,1,31.077,1967.48,0.238393,375.65,693.84,1047.65,1173.16,1737.27,562.45,820.916,-80580,-22410,-79170,-23820,26.83,41.41,0.657869,15.5621,0
-6,-1,0.788168,0,431.216,0.0882981,67.55,257.239,238.55,428.128,431.216,155.65,311.455,-79080,-15060,-77070,-15060,5.65,16.49,0.631936,3.40382,0
-6,0,0.122102,0,383.082,0.0207088,12.35,337.158,311.75,372.812,383.082,167.85,357.789,-79470,1740,-77460,1740,0.89,24.81,0.847112,1.52226,0
-5,-16,0.0144178,0,429.963,0.00815608,0.05,429.963,303.25,429.963,429.963,143.65,429.963,-63900,-231540,-61890,-231540,0.01,10.69,0.870158,0.460294,0
-5,-15,0.015499,0,215.593,0.0019546,0.05,215.593,47.15,215.593,215.593,9.55,215.593,-64830,-230160,-62820,-230160,0.01,3.03,0.854331,0.153372,0
-5,-14,0.0127024,0,152.581,0.00586086,0.05,152.581,152.55,152.581,152.581,73.95,152.581,-67500,-200550,-65490,-200550,0.01,6.89,0.833537,0.330489,0
-5,-13,0.000227627,0,61.59,8.46135e-05,0.05,61.59,0.05,61.59,61.59,0.05,61.59,-68040,-199440,-66030,-199440,0.01,0.01,0.910906,0.0070019,0
-5,-12,0.774584,0,1563.49,0.1279,560.45,1005.56,1514.65,1563.49,1563.49,974.75,1505.12,-72930,-182070,-72930,-180060,29.39,43.33,0.648634,16.329,0
-5,-11,1,3.029,730.737,0.318293,316.75,524.233,541.15,582.704,632.894,356.35,568.132,-74700,-159900,-76110,-161310,27.03,36.79,0.594351,17.7262,0
-5,-10,0.401124,0,246.869,0.0451428,24.75,238.135,222.55,246.869,246.869,127.25,246.869,-67350,-138750,-69360,-138750,2.29,13.67,0.701056,1.56305,0
-5,-9,0.350099,0,133.874,0.0467597,62.35,126.722,121.65,133.874,133.874,93.55,133.874,-68640,-136080,-70050,-137490,4.55,16.79,0.700327,2.16763,0
-5,-8,0.848815,0,377.601,0.261395,195.35,316.441,375.95,377.601,377.601,238.05,371.212,-71340,-112620,-72750,-111210,17.15,32.39,0.657595,9.36455,0
-5,-7,0.930549,0,634.543,0.556369,191.25,426.528,439.55,475.977,559.914,310.85,458.252,-61860,-102690,-63270,-101280,11.19,30.45,0.620248,7.50765,0
-5,-6,1,123.896,1256.08,0.553839,167.15,481.49,659.15,687.822,855.348,426.55,584.594,-71970,-86880,-71970,-84870,7.71,21.31,0.694101,5.96218,0
-5,-5,1,1135,2482.09,0.399196,180.25,516.879,612.85,665.39,792.834,299.05,596.438,-75900,-65280,-75900,-63270,11.87,36.79,0.730023,9.85968,0
-5,-4,1,1244.37,2763.78,0.511309,463.25,884.879,944.15,1180.54,1229.5,570.15,914.226,-75570,-52530,-75570,-50520,32.55,40.77,0.499453,26.8706,0
-5,-3,1,1270,3558.31,0.475128,360.75,535.322,832.75,906.719,1361.01,479.45,672.6,-69150,-39390,-67740,-37980,27.77,36.27,0.515913,21.768,0
-5,-2,1,524.469,3698.31,0.582096,617.15,866.115,1322.65,1387.26,2080.24,822.45,1042.46,-69180,-16770,-67170,-16770,37.35,46.13,0.384019,36.5572,0
-5,-1,1,76.109,2888.98,0.244904,591.05,948.633,1431.65,1640.6,2165.53,850.85,1206.38,-65250,-12600,-63840,-14010,36.11,46.09,0.524488,28.674,0
